Date, Open, High, Low, Close
2022-04-18,2548.35,2557.66,2534.61,2546.66
2022-04-14,2581.74,2590.02,2550.1,2550.91
2022-04-13,2550.13,2586.1,2547.8,2582.26
2022-04-12,2558.91,2593.8,2541.49,2549.86
2022-04-11,2595.36,2595.36,2555.1,2557.44
2022-04-08,2605.12,2616.84,2589.9,2597.18
2022-04-07,2597.18,2617.61,2575.3,2605.68
2022-04-06,2623.48,2623.48,2579.36,2597.38
2022-04-05,2663.0,2667.42,2620.3,2625.73
2022-04-04,2643.75,2664.53,2641.64,2663.93
2022-04-01,2631.77,2644.03,2620.87,2643.2
2022-03-31,2672.42,2673.73,2631.72,2631.72
2022-03-30,2693.77,2693.77,2660.53,2672.44
2022-03-29,2657.73,2697.92,2657.73,2694.04
2022-03-28,2637.37,2655.53,2620.8,2655.49
2022-03-25,2626.84,2639.24,2613.75,2637.37
2022-03-24,2591.83,2627.11,2591.83,2626.91
2022-03-23,2623.36,2623.36,2590.51,2590.9
2022-03-22,2594.12,2630.38,2594.12,2624.63
2022-03-21,2597.31,2608.47,2573.16,2593.9
2022-03-18,2566.47,2599.5,2554.98,2598.2
2022-03-17,2532.31,2566.81,2519.4,2566.46
2022-03-16,2472.95,2533.21,2469.95,2532.66
2022-03-15,2445.14,2476.47,2415.15,2472.12
2022-03-14,2445.14,2465.91,2415.15,2422.01
2022-03-11,2480.82,2497.17,2443.36,2445.11
2022-03-10,2488.73,2488.73,2450.22,2479.65
2022-03-09,2425.9,2501.87,2425.9,2490.25
2022-03-08,2438.86,2484.27,2419.55,2425.59
2022-03-07,2516.23,2516.23,2438.73,2439.18
2022-03-04,2540.55,2540.55,2491.93,2516.07
2022-03-03,2560.16,2573.8,2530.87,2541.0
2022-03-02,2513.46,2567.9,2513.46,2560.02
2022-03-01,2551.64,2555.12,2496.94,2512.32
2022-02-28,2555.13,2562.06,2519.58,2552.42
2022-02-25,2499.08,2555.63,2496.6,2555.47
2022-02-24,2453.2,2500.66,2397.38,2498.95
2022-02-23,2506.12,2524.92,2454.48,2456.3
2022-02-22,2529.74,2538.92,2483.41,2503.71
2022-02-18,2551.06,2559.64,2519.18,2530.71
2022-02-17,2608.43,2608.43,2547.72,2550.97
2022-02-16,2607.48,2616.99,2583.73,2609.22
2022-02-15,2563.86,2609.42,2563.86,2608.32
2022-02-14,2573.87,2579.39,2543.79,2563.38
2022-02-11,2622.7,2635.56,2563.65,2573.78
2022-02-10,2668.49,2674.54,2610.73,2622.48
2022-02-09,2628.36,2670.1,2628.36,2669.32
2022-02-08,2602.93,2633.12,2593.73,2627.81
2022-02-07,2610.71,2625.19,2596.93,2603.57
2022-02-04,2593.71,2632.35,2580.1,2610.66
2022-02-03,2658.28,2658.28,2590.78,2594.1
2022-02-02,2642.38,2662.36,2634.63,2659.23
2022-02-01,2622.0,2644.32,2602.29,2642.23
2022-01-31,2566.7,2622.29,2558.98,2621.97
2022-01-28,2505.92,2567.17,2484.85,2566.79
2022-01-27,2524.24,2568.3,2497.27,2505.66
2022-01-26,2535.69,2587.97,2499.52,2523.64
2022-01-25,2563.28,2563.89,2493.13,2531.38
2022-01-24,2551.0,2569.96,2452.55,2565.95
2022-01-21,2602.81,2610.26,2551.82,2552.54
2022-01-20,2634.46,2676.95,2600.49,2603.06
2022-01-19,2661.01,2680.55,2632.72,2633.86
2022-01-18,2713.17,2713.17,2656.4,2660.81
2022-01-14,2712.17,2715.12,2683.72,2714.17
2022-01-13,2752.87,2763.57,2708.04,2712.91
2022-01-12,2749.56,2768.93,2741.49,2752.64
2022-01-11,2721.62,2749.11,2705.45,2748.59
2022-01-10,2725.25,2725.25,2668.59,2721.62
2022-01-07,2739.06,2748.27,2718.56,2725.6
2022-01-06,2739.24,2756.7,2721.56,2739.2
2022-01-05,2799.73,2801.26,2738.94,2739.34
2022-01-04,2788.02,2817.11,2783.04,2800.41
2022-01-03,2788.02,2804.94,2783.04,2804.93
2021-12-31,2793.81,2800.5,2788.13,2788.14
2021-12-30,2802.91,2813.24,2794.19,2795.91
2021-12-29,2798.38,2807.37,2791.86,2801.87
2021-12-28,2803.9,2813.59,2795.71,2798.35
2021-12-27,2769.34,2803.88,2769.34,2803.74
2021-12-23,2750.84,2776.62,2750.84,2768.36
2021-12-22,2723.88,2750.8,2721.99,2750.51
2021-12-21,2671.34,2724.96,2671.34,2724.05
2021-12-20,2702.61,2702.61,2648.24,2670.68
2021-12-17,2722.28,2727.88,2686.41,2703.7
2021-12-16,2753.15,2763.9,2712.82,2722.79
2021-12-15,2707.54,2752.53,2690.92,2751.19
2021-12-14,2727.05,2727.05,2692.81,2707.53
2021-12-13,2754.29,2754.29,2728.6,2729.22
2021-12-10,2736.84,2758.23,2734.2,2755.39
2021-12-09,2761.15,2761.15,2734.97,2735.66
2021-12-08,2750.29,2764.37,2746.35,2762.09
2021-12-07,2697.21,2756.64,2697.21,2750.23
2021-12-06,2660.7,2704.9,2658.24,2692.5
2021-12-03,2689.4,2705.02,2635.63,2660.04
2021-12-02,2646.28,2698.94,2645.47,2688.85
2021-12-01,2687.78,2734.92,2645.46,2646.45
2021-11-30,2738.84,2738.84,2682.43,2685.54
2021-11-29,2711.53,2752.36,2711.53,2739.79
2021-11-26,2771.96,2771.96,2703.14,2709.73
2021-11-24,2764.89,2774.62,2746.68,2773.75
2021-11-23,2764.87,2773.52,2742.24,2765.86
2021-11-22,2778.14,2801.55,2764.41,2764.51
2021-11-19,2785.12,2790.29,2776.2,2777.6
2021-11-18,2780.39,2788.63,2767.76,2785.05
2021-11-17,2791.32,2791.32,2776.88,2780.27
2021-11-16,2780.21,2798.63,2778.43,2791.55
2021-11-15,2782.38,2789.29,2774.46,2780.29
2021-11-12,2763.54,2784.38,2763.54,2781.44
2021-11-11,2759.21,2769.38,2759.21,2761.93
2021-11-10,2784.86,2784.86,2748.24,2758.11
2021-11-09,2793.5,2798.43,2777.0,2785.55
2021-11-08,2791.54,2802.12,2791.5,2794.62
2021-11-05,2779.8,2803.92,2779.8,2790.56
2021-11-04,2770.29,2784.99,2770.29,2779.79
2021-11-03,2750.81,2772.55,2746.19,2770.93
2021-11-02,2742.84,2751.89,2742.11,2750.63
2021-11-01,2730.37,2743.11,2728.88,2742.74
2021-10-29,2724.72,2732.3,2711.13,2730.66
2021-10-28,2697.24,2726.34,2697.24,2725.94
2021-10-27,2716.46,2720.1,2696.6,2696.61
2021-10-26,2716.48,2733.11,2713.82,2716.72
2021-10-25,2702.14,2719.14,2698.4,2715.42
2021-10-22,2705.67,2711.34,2689.36,2701.86
2021-10-21,2696.28,2706.56,2692.32,2705.77
2021-10-20,2686.36,2699.01,2686.36,2696.32
2021-10-19,2668.04,2687.21,2668.04,2685.92
2021-10-18,2657.76,2668.45,2645.03,2667.5
2021-10-15,2642.66,2662.67,2642.66,2658.14
2021-10-14,2599.84,2642.67,2599.84,2641.96
2021-10-13,2588.88,2602.6,2577.72,2598.64
2021-10-12,2590.61,2600.13,2582.99,2587.95
2021-10-11,2606.5,2621.86,2589.29,2589.52
2021-10-08,2615.3,2621.05,2605.3,2607.1
2021-10-07,2591.75,2631.18,2591.75,2614.3
2021-10-06,2578.46,2590.89,2548.28,2589.86
2021-10-05,2555.53,2593.07,2555.53,2580.48
2021-10-04,2589.25,2589.25,2543.15,2555.06
2021-10-01,2560.59,2600.41,2548.45,2589.83
2021-09-30,2589.51,2601.7,2559.31,2559.72
2021-09-29,2586.48,2603.88,2585.87,2587.99
2021-09-28,2640.09,2640.09,2583.99,2586.1
2021-09-27,2644.1,2649.31,2635.07,2641.5
2021-09-24,2643.54,2650.64,2634.4,2645.88
2021-09-23,2613.03,2653.99,2613.03,2644.61
2021-09-22,2587.2,2625.0,2587.2,2612.34
2021-09-21,2588.23,2609.17,2581.25,2586.45
2021-09-20,2631.2,2631.2,2556.12,2586.93
2021-09-17,2653.57,2653.57,2628.8,2633.47
2021-09-16,2655.49,2661.14,2636.67,2653.97
2021-09-15,2633.83,2659.25,2630.08,2656.02
2021-09-14,2651.07,2659.79,2629.23,2633.52
2021-09-13,2647.05,2662.86,2637.72,2650.48
2021-09-10,2666.31,2681.28,2644.28,2644.67
2021-09-09,2676.06,2686.56,2665.21,2665.68
2021-09-08,2682.7,2682.7,2664.18,2675.98
2021-09-07,2694.05,2694.05,2680.53,2682.74
2021-09-03,2695.21,2697.15,2687.4,2694.2
2021-09-02,2687.11,2698.84,2687.11,2695.41
2021-09-01,2683.15,2693.9,2683.15,2686.2
2021-08-31,2687.23,2687.45,2678.62,2682.85
2021-08-30,2679.05,2692.11,2679.05,2686.91
2021-08-27,2650.03,2680.19,2650.03,2677.9
2021-08-26,2666.43,2666.7,2649.14,2649.81
2021-08-25,2659.31,2670.03,2659.12,2666.48
2021-08-24,2651.25,2662.83,2651.25,2659.3
2021-08-23,2625.48,2655.35,2625.48,2650.62
2021-08-20,2602.05,2626.25,2602.05,2625.09
2021-08-19,2601.09,2610.05,2584.75,2601.55
2021-08-18,2629.06,2632.82,2601.79,2603.06
2021-08-17,2649.24,2649.24,2611.2,2629.92
2021-08-16,2647.5,2650.13,2627.68,2649.95
2021-08-13,2647.16,2649.86,2645.04,2648.3
2021-08-12,2640.31,2647.69,2633.28,2647.04
2021-08-11,2634.23,2640.9,2630.05,2640.12
2021-08-10,2633.48,2639.93,2631.42,2634.08
2021-08-09,2635.18,2637.29,2627.21,2632.81
2021-08-06,2632.35,2640.23,2630.69,2635.33
2021-08-05,2614.6,2632.67,2614.6,2632.54
2021-08-04,2626.3,2626.3,2612.86,2613.78
2021-08-03,2607.74,2626.27,2596.27,2626.23
2021-08-02,2613.06,2627.34,2605.96,2607.4
2021-07-30,2625.32,2625.32,2608.62,2611.83
2021-07-29,2616.47,2635.01,2616.47,2626.82
2021-07-28,2612.16,2624.55,2607.53,2615.88
2021-07-27,2625.36,2625.36,2592.51,2611.02
2021-07-26,2620.75,2625.81,2617.65,2625.65
2021-07-23,2596.05,2622.35,2596.05,2620.62
2021-07-22,2594.26,2597.58,2585.11,2595.32
2021-07-21,2570.83,2594.18,2570.83,2593.84
2021-07-20,2526.92,2578.59,2526.92,2570.18
2021-07-19,2561.92,2561.92,2512.41,2526.57
2021-07-16,2584.77,2594.2,2562.07,2564.77
2021-07-15,2592.57,2592.57,2570.53,2583.89
2021-07-14,2598.15,2610.89,2587.88,2592.73
2021-07-13,2610.84,2611.77,2595.53,2596.58
2021-07-12,2604.65,2612.15,2600.96,2611.27
2021-07-09,2572.02,2605.36,2572.02,2604.49
2021-07-08,2592.34,2592.34,2550.55,2572.35
2021-07-07,2592.18,2599.01,2578.47,2595.1
2021-07-06,2597.55,2599.68,2573.87,2591.17
2021-07-02,2583.72,2599.53,2583.72,2597.75
2021-07-01,2570.4,2583.77,2570.4,2583.2
2021-06-30,2568.55,2573.34,2566.0,2570.66
2021-06-29,2569.83,2576.0,2566.53,2569.42
2021-06-28,2566.88,2571.39,2559.92,2569.87
2021-06-25,2558.98,2568.94,2558.98,2565.93
2021-06-24,2541.11,2559.25,2541.11,2556.84
2021-06-23,2541.81,2548.75,2540.04,2540.12
2021-06-22,2527.74,2546.77,2523.01,2541.5
2021-06-21,2492.96,2528.42,2492.96,2527.91
2021-06-18,2524.32,2524.32,2491.59,2492.36
2021-06-17,2527.09,2531.37,2508.52,2525.25
2021-06-16,2540.63,2541.86,2513.67,2527.36
2021-06-15,2546.96,2547.64,2534.04,2539.86
2021-06-14,2543.99,2547.02,2535.97,2546.78
2021-06-11,2536.0,2543.69,2533.57,2543.67
2021-06-10,2525.63,2541.71,2524.42,2535.75
2021-06-09,2532.02,2537.24,2524.79,2525.11
2021-06-08,2528.48,2535.08,2518.07,2531.47
2021-06-07,2524.9,2527.77,2521.13,2527.77
2021-06-04,2505.89,2527.26,2505.89,2525.14
2021-06-03,2513.68,2513.68,2489.05,2503.73
2021-06-02,2513.16,2519.9,2509.61,2515.52
2021-06-01,2512.26,2528.45,2509.03,2512.8
2021-05-28,2510.48,2519.44,2510.48,2511.52
2021-05-27,2504.31,2514.89,2504.31,2509.59
2021-05-26,2495.69,2507.04,2495.53,2504.52
2021-05-25,2502.86,2512.04,2492.34,2495.11
2021-05-24,2486.9,2509.17,2486.9,2501.87
2021-05-21,2480.88,2498.23,2476.19,2478.24
2021-05-20,2454.17,2486.57,2454.17,2479.42
2021-05-19,2458.79,2458.79,2420.45,2452.89
2021-05-18,2480.59,2486.16,2460.43,2461.21
2021-05-17,2486.66,2486.66,2467.28,2480.28
2021-05-14,2446.44,2491.4,2446.44,2486.56
2021-05-13,2419.48,2457.3,2419.48,2446.4
2021-05-12,2474.08,2474.08,2414.8,2418.04
2021-05-11,2491.74,2491.74,2449.08,2474.99
2021-05-10,2523.98,2525.26,2493.54,2493.54
2021-05-07,2505.76,2526.96,2505.0,2523.93
2021-05-06,2488.36,2503.78,2471.53,2503.36
2021-05-05,2490.06,2501.3,2484.86,2488.38
2021-05-04,2507.49,2507.49,2467.74,2489.3
2021-05-03,2504.01,2519.32,2504.01,2509.05
2021-04-30,2522.24,2522.24,2499.79,2503.56
2021-04-29,2515.4,2531.22,2503.41,2523.3
2021-04-28,2512.77,2521.4,2510.71,2511.32
2021-04-27,2514.57,2517.22,2508.0,2513.67
2021-04-26,2506.53,2517.89,2506.53,2514.13
2021-04-23,2478.18,2513.79,2478.18,2505.79
2021-04-22,2496.02,2504.69,2470.1,2476.56
2021-04-21,2468.93,2496.85,2464.39,2496.24
2021-04-20,2490.63,2490.63,2459.66,2470.26
2021-04-19,2505.8,2505.8,2482.72,2490.62
2021-04-16,2499.55,2509.97,2497.9,2506.66
2021-04-15,2474.78,2500.11,2474.78,2499.02
2021-04-14,2480.3,2489.66,2470.01,2472.03
2021-04-13,2471.22,2483.8,2470.09,2480.08
2021-04-12,2470.52,2473.06,2462.12,2470.98
2021-04-09,2454.18,2471.41,2452.95,2471.1
2021-04-08,2444.33,2454.85,2443.36,2454.7
2021-04-07,2443.69,2446.65,2436.26,2441.88
2021-04-06,2442.75,2451.32,2439.46,2443.18
2021-04-05,2430.53,2445.25,2430.06,2443.4
2021-04-01,2387.11,2413.49,2387.11,2413.17
